epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.3846,0.7032,0.5,1,0.69383,5.712e-05,5.712e-05,5.712e-05
2,8.07911,0.66024,0.5,1,0.6955,0.000109363,0.000109363,0.000109363
3,11.7551,0.63963,0.5,1,0.70035,0.000148883,0.000148883,0.000148883
4,15.4235,0.59352,0.5,1,0.71177,0.00017568,0.00017568,0.00017568
5,18.9755,0.53784,0.5,1,0.68494,0.000189753,0.000189753,0.000189753
6,22.3432,0.51082,0.65,1,0.56216,0.000191102,0.000191102,0.000191102
7,25.4913,0.41552,1,1,0.40037,0.000179728,0.000179728,0.000179728
8,28.7795,0.35791,1,1,0.23338,0.000155631,0.000155631,0.000155631
9,31.9529,0.36897,1,1,0.13322,0.00011881,0.00011881,0.00011881
10,35.0611,0.34896,1,1,0.10381,6.92651e-05,6.92651e-05,6.92651e-05
